City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Beringovskiy,RU,63.05,179.3167,16.43,87,10,6.15,clear sky
160,Zhigansk,RU,66.7697,123.3711,7.36,94,100,26.93,light snow
161,Albany,US,42.6001,-73.9662,41.81,73,12,3.89,few clouds
162,Kharovsk,RU,59.9642,40.1912,33.1,98,100,6.15,snow
163,Skibbereen,IE,51.55,-9.2667,53.4,97,100,10.29,light rain
164,Nishihara,JP,26.1842,127.7558,76.68,76,90,11.5,mist
165,Airai,TL,-8.9266,125.4092,74.37,66,90,1.14,overcast clouds
166,Labuhan,ID,-6.8844,112.2051,86.27,63,100,2.37,overcast clouds
167,Sabang,ID,5.8933,95.3214,81.43,78,90,9.01,overcast clouds
168,Eureka,US,40.8021,-124.1637,49.39,76,11,2.68,few clouds
169,Belaya Gora,RU,68.5333,146.4167,-6.03,96,100,1.57,overcast clouds
170,Chernyanka,RU,50.9409,37.8069,43.95,77,100,10.96,light rain
171,Novonukutskiy,RU,53.7002,102.7117,27.27,76,100,4.65,overcast clouds
172,West Bay,KY,19.3667,-81.4167,79.07,68,75,1.01,broken clouds
173,Landerneau,FR,48.4525,-4.2525,50.76,96,90,2.3,overcast clouds
174,Talnakh,RU,69.4865,88.3972,17.8,96,100,7.16,light snow
175,Maumere,ID,-8.6199,122.2111,86.67,68,92,1.1,overcast clouds
176,Avera,US,33.194,-82.5271,50.72,49,0,6.53,clear sky
177,Praia,CV,14.9215,-23.5087,75.74,73,40,17.27,scattered clouds
178,Coria,ES,39.9879,-6.5377,48.42,74,29,5.66,scattered clouds
179,Trinidad,BO,-14.8333,-64.9,69.64,75,100,2.86,overcast clouds
180,Mineiros,BR,-17.5694,-52.5511,71.56,79,20,3.22,few clouds
181,Pantai Remis,MY,4.4557,100.6288,86.02,80,75,9.73,broken clouds
182,Provideniya,RU,64.3833,-173.3,17.71,73,75,2.24,broken clouds
183,Srivardhan,IN,18.0333,73.0167,75.45,67,100,5.35,overcast clouds
184,Yellowknife,CA,62.456,-114.3525,28.42,99,100,7.09,overcast clouds
185,Wanning,CN,18.8003,110.3967,75.36,85,39,18.21,scattered clouds
186,Komsomolsk,UA,49.0097,33.6455,48.69,69,99,9.04,overcast clouds
187,Guerrero Negro,MX,27.9769,-114.0611,65.37,83,100,9.35,overcast clouds
188,Kurchum,KZ,48.5722,83.6542,20.21,62,8,3.78,clear sky
189,Cabo San Lucas,MX,22.8909,-109.9124,79.61,67,27,7.56,scattered clouds
190,Lebu,CL,-37.6167,-73.65,52.88,93,68,9.86,broken clouds
191,Port Elizabeth,ZA,-33.918,25.5701,59.09,84,100,5.57,overcast clouds
192,Ponta Do Sol,PT,32.6667,-17.1,66.83,67,14,7.25,few clouds
193,Ketchikan,US,55.3422,-131.6461,39.67,87,90,5.75,light rain
194,Ruteng,ID,-8.6136,120.4721,75.7,67,36,0.27,scattered clouds
195,Rabo De Peixe,PT,37.8,-25.5833,69.28,83,40,12.66,scattered clouds
196,Narrabri,AU,-30.3167,149.7833,82.53,50,74,4.0,broken clouds
197,Sawang Daen Din,TH,17.4753,103.4575,84.18,74,19,9.82,few clouds
198,Cairns,AU,-16.9167,145.7667,96.94,66,40,8.05,scattered clouds
199,Barrow,US,71.2906,-156.7887,24.82,68,90,13.8,overcast clouds
200,Esperance,AU,-33.8667,121.9,63.63,56,100,11.27,overcast clouds
201,Maragogi,BR,-9.0122,-35.2225,77.27,86,5,7.74,clear sky
202,Ayr,GB,55.4627,-4.6339,44.1,93,75,6.91,broken clouds
203,Upernavik,GL,72.7868,-56.1549,9.88,79,7,6.78,clear sky
204,Haines Junction,CA,60.7522,-137.5108,19.31,65,8,2.06,clear sky
205,Saldanha,ZA,-33.0117,17.9442,60.24,74,88,20.65,overcast clouds
206,Coahuayana,MX,18.7333,-103.6833,77.25,86,100,1.25,overcast clouds
207,Grand-Santi,GF,4.25,-54.3833,73.38,99,95,1.88,overcast clouds
208,Lasa,IT,46.6166,10.7002,40.08,54,74,3.69,broken clouds
209,Iralaya,HN,15.0,-83.2333,77.72,86,100,16.82,overcast clouds
210,Tual,ID,-5.6667,132.75,84.78,73,36,6.64,scattered clouds
211,Manjeshwar,IN,12.7194,74.8861,77.95,87,93,3.06,overcast clouds
212,Carnarvon,AU,-24.8667,113.6333,68.4,63,79,14.56,broken clouds
213,Georgetown,MY,5.4112,100.3354,84.88,83,20,1.01,few clouds
214,Longford,IE,53.7333,-7.8,48.99,90,100,7.52,moderate rain
215,Jian,CN,27.1172,114.9793,49.82,55,4,8.93,clear sky
216,Kizukuri,JP,40.8061,140.3861,61.21,53,100,6.13,overcast clouds
217,Sardarpur,IN,22.678,74.9484,64.9,46,41,7.18,scattered clouds
218,Mar Del Plata,AR,-38.0023,-57.5575,61.09,85,0,3.0,clear sky
219,Beira,MZ,-19.8436,34.8389,71.69,100,20,4.61,fog
220,Cururupu,BR,-1.8283,-44.8683,74.7,93,89,2.35,overcast clouds
221,Ulaangom,MN,49.9811,92.0667,13.84,68,3,2.48,clear sky
222,Bandarbeyla,SO,9.4942,50.8122,76.5,70,86,9.64,overcast clouds
223,Seoul,KR,37.5683,126.9778,48.96,93,90,4.61,moderate rain
224,Asfi,MA,32.2994,-9.2372,56.89,67,0,14.76,clear sky
225,Matay,EG,28.419,30.7792,67.46,57,0,7.65,clear sky
226,Asau,RO,46.4333,26.4,50.76,86,100,6.13,overcast clouds
227,Wausau,US,44.9591,-89.6301,55.31,74,1,6.91,clear sky
228,Swellendam,ZA,-34.0226,20.4417,52.18,76,100,3.91,overcast clouds
229,Pombas,CV,17.1503,-25.0201,73.18,75,100,13.06,overcast clouds
230,Hamilton,US,39.1834,-84.5333,52.41,71,1,0.0,clear sky
231,Chuy,UY,-33.6971,-53.4616,53.76,83,10,2.77,clear sky
232,Siva,EG,29.2041,25.5195,66.15,70,0,5.17,clear sky
233,Abu Kamal,SY,34.4506,40.9171,62.4,38,0,3.44,clear sky
234,Alice Springs,AU,-23.7,133.8833,87.15,41,80,16.04,light rain
235,Nicoya,CR,10.1483,-85.452,78.35,88,96,5.84,overcast clouds
236,Novita,CO,4.9551,-76.6053,73.08,99,100,1.16,overcast clouds
237,Liverpool,GB,53.4106,-2.9779,48.09,87,20,1.01,few clouds
238,Beloha,MG,-25.1667,45.05,71.87,56,63,5.48,broken clouds
239,Aklavik,CA,68.2191,-135.0107,14.83,96,87,4.23,overcast clouds
240,Nirgua,VE,10.1553,-68.5663,66.94,97,82,2.55,broken clouds
241,Ossora,RU,59.2353,163.0719,30.54,97,100,6.4,light snow
242,Sao Filipe,CV,14.8961,-24.4956,78.15,73,100,8.16,overcast clouds
243,Mangan,IN,27.5167,88.5333,67.96,49,8,0.67,clear sky
244,La Dolorita,VE,10.4883,-66.7861,63.84,94,59,0.85,broken clouds
245,Ribeira Grande,PT,38.5167,-28.7,69.46,86,26,23.94,scattered clouds
246,Grand Gaube,MU,-20.0064,57.6608,76.37,76,25,7.0,scattered clouds
247,Worland,US,44.0169,-107.9554,45.59,69,90,4.0,overcast clouds
248,Bonnyville,CA,54.2668,-110.735,28.2,60,11,7.47,few clouds
249,Sayanogorsk,RU,53.0875,91.3997,31.28,68,100,5.77,overcast clouds
250,Polunochnoye,RU,60.8697,60.4153,29.73,82,23,8.08,few clouds
251,Opunake,NZ,-39.4556,173.8583,73.35,68,1,10.0,clear sky
252,Elat,IL,29.5581,34.9482,71.44,33,0,4.61,clear sky
253,Lewistown,US,40.5992,-77.5714,44.64,81,1,0.0,clear sky
254,Gamboma,CG,-1.8764,15.8644,71.37,97,100,0.98,light rain
255,Terney,RU,45.0503,136.6092,43.68,28,100,2.8,overcast clouds
256,Merauke,ID,-8.4667,140.3333,86.05,66,70,6.85,broken clouds
257,Capao Bonito,BR,-24.0058,-48.3494,60.37,93,71,7.14,broken clouds
258,Ubatuba,BR,-23.4339,-45.0711,67.12,84,26,3.94,scattered clouds
259,Ubeda,ES,38.0133,-3.3705,45.84,54,0,2.71,clear sky
260,Pulandian,CN,39.3953,121.9669,33.93,93,100,21.54,light snow
261,Cap Malheureux,MU,-19.9842,57.6142,76.46,76,18,7.0,few clouds
262,Faanui,PF,-16.4833,-151.75,79.59,73,23,9.13,light rain
263,San Cristobal,VE,7.7669,-72.225,75.38,91,97,1.63,overcast clouds
264,Rudnyy,KZ,52.9594,63.1206,32.23,69,61,12.86,broken clouds
265,Geraldton,AU,-28.7667,114.6,72.01,46,22,13.8,few clouds
266,Mount Pleasant,US,32.7941,-79.8626,54.0,72,1,4.0,clear sky
267,Poronaysk,RU,49.2167,143.1167,35.37,47,100,4.68,overcast clouds
268,Taga,RO,46.95,24.05,46.72,94,100,2.46,overcast clouds
269,Catamarca,AR,-28.4696,-65.7852,65.59,69,14,8.75,few clouds
270,Mao,ES,39.8885,4.2658,55.96,88,75,14.97,broken clouds
271,Balikpapan,ID,-1.2675,116.8289,77.99,100,75,2.3,light rain
272,Half Moon Bay,US,37.4636,-122.4286,57.06,77,1,14.97,clear sky
273,Makakilo City,US,21.3469,-158.0858,82.72,58,20,8.05,few clouds
274,Limbang,MY,4.75,115.0,86.11,65,38,1.41,scattered clouds
275,Isangel,VU,-19.55,169.2667,82.51,65,75,6.91,broken clouds
276,Mwense,ZM,-10.3845,28.698,71.08,47,45,2.64,scattered clouds
277,Leningradskiy,RU,69.3833,178.4167,7.66,83,42,9.71,scattered clouds
278,Aksu,CN,41.1231,80.2644,27.9,29,0,2.44,clear sky
