City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Mozarlandia,BR,76.87,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
498,Karratha,AU,79.77,clear sky,-20.7377,116.8463,ibis Styles Karratha
507,Kapoeta,SS,79.74,overcast clouds,4.7717,33.5903,Eastgate Hotel
513,Poum,NC,76.21,overcast clouds,-20.2333,164.0167,Gîte kajeon
515,Leona Vicario,MX,75.81,clear sky,20.9667,-87.1917,Don Ros Cabañas y Restaurante
519,Kimbe,PG,89.6,light rain,-5.5502,150.1429,Kimbe Bay Hotel
525,Kulhudhuffushi,MV,80.58,broken clouds,6.6221,73.07,Haajy Guest House 1
527,Lorengau,PG,83.08,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
528,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
534,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
540,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
542,Carmen,MX,77.04,clear sky,18.6333,-91.8333,Hotel Lossandes
546,Mount Isa,AU,83.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
553,Yarada,IN,77.32,haze,17.65,83.2667,MR-SAGAR_KUMAR_RTR™
556,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
559,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
561,Bambanglipuro,ID,82.56,heavy intensity rain,-7.95,110.2833,Puri Brata
565,Trincomalee,LK,76.96,heavy intensity rain,8.5711,81.2335,Welcombe Hotel
569,Diffa,NE,79.34,overcast clouds,13.3154,12.6113,ProDAF/Diffa
570,Paka,MY,83.34,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
577,Kieta,PG,86.52,clear sky,-6.2167,155.6333,Uruna Bay Retreat
578,Sawtell,AU,76.19,light rain,-30.3833,153.1,The Bungalow Sawtell
579,Alenquer,BR,75.54,broken clouds,-1.9417,-54.7383,Josilene Castro
580,Moralillo,MX,77.09,scattered clouds,22.2167,-97.9,Hotel San Antonio
585,Mogadishu,SO,78.71,overcast clouds,2.0371,45.3438,Hotel Juba
586,Anloga,GH,75.42,broken clouds,5.7947,0.8973,Pin Drop Hotel
587,Oriximina,BR,77.04,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
590,Keti Bandar,PK,76.55,clear sky,24.1447,67.4497,Haji laloo memon house
593,Kaohsiung,TW,85.95,scattered clouds,22.6163,120.3133,御宿商旅-中山館
598,Domoni,KM,77.31,few clouds,-12.2569,44.5319,Al Djadid
601,Dhidhdhoo,MV,80.55,scattered clouds,6.8833,73.1,Dhidhoo beach
602,Pouembout,NC,79.65,overcast clouds,-21.1333,164.9,Camping de Tipenga
603,Hambantota,LK,78.67,overcast clouds,6.1241,81.1185,Bungalow 63
604,Majene,ID,83.48,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
609,Portobelo,PA,78.96,overcast clouds,9.55,-79.65,Scuba Portobelo
618,Totness,SR,78.78,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
620,Pangai,TO,75.31,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
621,Hervey Bay,AU,82.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
622,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
626,Phibun Mangsahan,TH,85.1,scattered clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
634,Bandrele,YT,76.75,clear sky,-12.9067,45.1914,Les Baobabs
644,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
645,Soyo,AO,77.31,light rain,-6.1349,12.3689,Hotel Mpampa
647,Weligama,LK,77.29,overcast clouds,5.9667,80.4167,Weligama Bay Resort
656,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
673,Nabire,ID,85.75,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
674,Mahina,PF,80.37,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
676,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
679,Quevedo,EC,77.94,overcast clouds,-1.0333,-79.45,Hotel Tuistico Ejecutivo
683,Tomigusuku,JP,77.14,broken clouds,26.185,127.675,Hotel Gran View Okinawa
686,Lismore,AU,80.49,light rain,-28.8135,153.2773,Dawson Motor Inn
690,Umm Lajj,SA,77.61,clear sky,25.0213,37.2685,Moon light Furnished Units
